POOL_ID,BLOCK_ID,IO_FIX,IS_OLD,SPACE,DATA_SIZE,FIX_COUNT,IS_HASHED,PAGE_TYPE,FLUSH_TYPE,INDEX_NAME,PAGE_STATE,TABLE_NAME,ACCESS_TIME,PAGE_NUMBER,NUMBER_RECORDS,COMPRESSED_SIZE,FREE_PAGE_CLOCK,NEWEST_MODIFICATION,OLDEST_MODIFICATION
0,78,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,208,0,0,0,1842472,0
0,79,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,209,0,0,0,1842516,0
0,80,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,343,0,0,0,1842516,0
0,81,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,210,0,0,0,1842560,0
0,82,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,344,0,0,0,1842560,0
0,83,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,211,0,0,0,1837205,0
0,84,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,345,0,0,0,1837205,0
0,85,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,212,0,0,0,1837417,0
0,86,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,346,0,0,0,1837417,0
0,87,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,213,0,0,0,1837645,0
0,88,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35375,347,0,0,0,1837645,0
0,89,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35375,214,0,0,0,1837857,0
0,90,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35375,348,0,0,0,1837857,0
0,91,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,215,0,0,0,0,0
0,92,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,216,0,0,0,0,0
0,93,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,217,0,0,0,0,0
0,94,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,218,0,0,0,0,0
0,95,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,219,0,0,0,0,0
0,96,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,220,0,0,0,0,0
0,97,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,221,0,0,0,0,0
0,98,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,222,0,0,0,0,0
0,99,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35375,223,0,0,0,0,0
0,100,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35377,224,0,0,0,0,0
0,101,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35378,225,0,0,0,0,0
0,102,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35378,226,0,0,0,0,0
0,103,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35378,227,0,0,0,0,0
0,104,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35378,228,0,0,0,0,0
0,105,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35378,229,0,0,0,0,0
0,106,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,230,0,0,0,0,0
0,107,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,231,0,0,0,0,0
0,108,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,232,0,0,0,0,0
0,109,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,233,0,0,0,0,0
0,110,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,234,0,0,0,0,0
0,111,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,235,0,0,0,0,0
0,112,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,236,0,0,0,0,0
0,113,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,237,0,0,0,0,0
0,114,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,238,0,0,0,0,0
0,115,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,239,0,0,0,0,0
0,116,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,240,0,0,0,0,0
0,117,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,241,0,0,0,0,0
0,118,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,242,0,0,0,0,0
0,119,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,244,0,0,0,0,0
0,120,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,245,0,0,0,0,0
0,121,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,246,0,0,0,0,0
0,122,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,247,0,0,0,0,0
0,123,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,248,0,0,0,0,0
0,124,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,249,0,0,0,0,0
0,125,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,250,0,0,0,0,0
0,126,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,251,0,0,0,0,0
0,127,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35379,252,0,0,0,0,0
0,128,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,253,0,0,0,0,0
0,129,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,254,0,0,0,0,0
0,130,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,255,0,0,0,0,0
0,131,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,256,0,0,0,0,0
0,132,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,257,0,0,0,0,0
0,133,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,258,0,0,0,0,0
0,134,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,259,0,0,0,0,0
0,135,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,260,0,0,0,0,0
0,136,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35381,261,0,0,0,0,0
0,137,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35384,262,0,0,0,0,0
0,138,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,263,0,0,0,0,0
0,139,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,264,0,0,0,0,0
0,140,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,265,0,0,0,0,0
0,141,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,266,0,0,0,0,0
0,142,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,267,0,0,0,0,0
0,143,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,268,0,0,0,0,0
0,144,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,269,0,0,0,0,0
0,145,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,270,0,0,0,0,0
0,146,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,271,0,0,0,0,0
0,147,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,272,0,0,0,0,0
0,148,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,273,0,0,0,0,0
0,149,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,274,0,0,0,0,0
0,150,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,275,0,0,0,0,0
0,151,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,276,0,0,0,0,0
0,152,IO_NONE,NO,0,0,0,NO,SYSTEM,0,NULL,FILE_PAGE,NULL,35385,277,0,0,0,0,0
