CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,0,<blank>,NULL,INNODB_METRICS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,3003,NULL,16747731,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_INDEXES,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,618,NULL,16615548,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_VIRTUAL,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,17,NULL,11883850,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_TABLESPACES_SCRUBBING,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,2016,NULL,16710624,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_SEMAPHORE_WAITS,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,60189,NULL,16732542,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,cond_instances,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_current,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_history,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_history_long,10000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_by_host_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_by_instance,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_by_thread_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_by_user_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_by_account_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,events_waits_summary_global_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,file_instances,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,file_summary_by_event_name,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,file_summary_by_instance,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,host_cache,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,mutex_instances,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,objects_summary_global_by_type,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,performance_timers,5,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,rwlock_instances,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,setup_actors,0,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,setup_consumers,12,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,setup_instruments,1000,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,setup_objects,0,NULL,0,NULL,0,performance_schema,def,0,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
